ID,SO
3,41971
4,41969
5,41968
6,41954
7,41953
8,41950
9,41946
10,41945
11,41944
12,41942
13,41938
14,41917
15,41880
16,41788
17,41689
18,41621
19,41616
20,41605
21,41596
22,40391
23,42061
24,42059
25,42058
26,42056
27,42054
28,42045
29,42042
30,42041
31,42040
32,42038
33,42023
34,42022
35,42021
36,42020
37,42019
38,42018
39,42011
40,42009
41,42008
42,42007
43,42006
44,42005
45,42004
46,42003
47,42002
48,42001
49,42000
50,41997
51,41988
52,41987
53,41985
54,41984
55,41972
56,41947
57,41943
58,41915
59,41909
60,41908
61,41907
62,41903
63,41902
64,41891
65,41887
66,41886
67,41881
68,41875
69,41873
70,41871
71,41870
72,41869
73,41868
74,41855
75,41854
76,41852
77,41851
78,41848
79,41847
80,41845
81,41836
82,41835
83,41834
84,41833
85,41801
86,41800
87,41790
88,41788
89,41787
90,41786
91,41785
92,41784
93,41779
94,41770
95,41764
96,41762
97,41742
98,41741
99,41740
100,41739
101,41737
102,41736
103,41735
104,41734
105,41706
106,41705
107,41704
108,41699
109,41698
110,41697
111,41696
112,41693
113,41692
114,41691
115,41690
116,41688
117,41682
118,41681
119,41670
120,41669
121,41662
122,41660
123,41655
124,41654
125,41641
126,41640
127,41639
128,41638
129,41627
130,41626
131,41624
132,41622
133,41619
134,41617
135,41612
136,41611
137,41610
138,41609
139,41606
140,41605
141,41601
142,41600
143,41597
144,41590
145,41589
146,41580
147,41579
148,41577
149,41573
150,41572
151,41569
152,41567
153,41553
154,41552
155,41546
156,41539
157,41538
158,41527
159,41520
160,41496
161,41495
162,41494
163,41493
164,41449
165,41429
166,41375
167,41363
168,41362
169,41337
170,41179
171,41178
172,41160
173,41157
174,41156
175,41155
176,41154
177,41153
178,41152
179,41131
180,41128
181,41124
182,41123
183,41121
184,41113
185,41111
186,41110
187,41109
188,41107
189,41106
190,41105
191,41103
192,41084
193,41082
194,41081
195,41069
196,41068
197,41067
198,41053
199,41052
200,41051
201,41050
202,41037
203,41029
204,41028
205,41027
206,41024
207,41022
208,41010
209,40992
210,40991
211,40989
212,40986
213,40985
214,40984
215,40983
216,40981
217,40978
218,40975
219,40974
220,40959
221,40958
222,40957
223,40952
224,40941
225,40940
226,40934
227,40931
228,40930
229,40927
230,40924
231,40906
232,40904
233,40903
234,40902
235,40901
236,40900
237,40897
238,40896
239,40893
240,40884
241,40874
242,40873
243,40862
244,40855
245,40853
246,40852
247,40851
248,40850
249,40849
250,40845
251,40839
252,40837
253,40836
254,40835
255,40834
256,40833
257,40832
258,40831
259,40830
260,40829
261,40828
262,40827
263,40825
264,40824
265,40823
266,40822
267,40821
268,40820
269,40819
270,40818
271,40817
272,40816
273,40815
274,40814
275,40813
276,40812
277,40811
278,40810
279,40809
280,40808
281,40807
282,40799
283,40798
284,40797
285,40796
286,40789
287,40788
288,40786
289,40776
290,40775
291,40761
292,40760
293,40758
294,40757
295,40745
296,40744
297,40743
298,40742
299,40740
300,40738
301,40736
302,40731
303,40727
304,40726
305,40724
306,40714
307,40707
308,40706
309,40703
310,40702
311,40700
312,40699
313,40698
314,40696
315,40695
316,40694
317,40693
318,40691
319,40690
320,40689
321,40688
322,40682
323,40681
324,40663
325,40658
326,40657
327,40656
328,40654
329,40653
330,40652
331,40651
332,40647
333,40646
334,40644
335,40643
336,40641
337,40635
338,40634
339,40628
340,40627
341,40624
342,40585
343,40584
344,40583
345,40581
346,40580
347,40579
348,40578
349,40572
350,40570
351,40569
352,40568
353,40567
354,40559
355,40558
356,40555
357,40550
358,40549
359,40548
360,40547
361,40546
362,40545
363,40544
364,40543
365,40527
366,40526
367,40525
368,40524
369,40523
370,40522
371,40517
372,40516
373,40513
374,40504
375,40497
376,40487
377,40486
378,40485
379,40475
380,40461
381,40458
382,40457
383,40456
384,40454
385,40453
386,40452
387,40442
388,40441
389,40440
390,40438
391,40436
392,40433
393,40426
394,40417
395,40416
396,40415
397,40405
398,40392
399,40386
400,40384
401,40383
402,40379
403,40376
404,40375
405,40374
406,40365
407,40364
408,40363
409,40360
410,40359
411,40358
412,40357
413,40356
414,40354
415,40353
416,40351
417,40350
418,40347
419,40346
420,40345
421,40344
422,40337
423,40324
424,40314
425,40313
426,40312
427,40311
428,40265
429,40264
430,40263
431,40262
432,40261
433,40260
434,40259
435,40258
436,40257
437,40256
438,40255
439,40254
440,40253
441,40252
442,40251
443,40250
444,40249
445,40248
446,40247
447,40246
448,40245
449,40244
450,40243
451,40242
452,40241
453,40240
454,40239
455,40238
456,40237
457,40235
458,40234
459,40233
460,40232
461,40231
462,40230
463,40229
464,40228
465,40227
466,40226
467,40225
468,40224
469,40223
470,40219
471,40175
472,40173
473,40171
474,40169
475,40168
476,40167
477,40166
478,40165
