ID,MaterialPartNo,BysoftMaterialCode,SolidWorksMaterialCode,Thickness,Gauge,ScrapFactor,Pounds,SheetMajor,SheetMinor
1,SM-ALUM-0400-30,ALUM5052,Aluminum (5052),0.04,"0.0400""",1.2,0.559,"",""
2,SM-ALUM-0500-26,ALUM3003,Aluminum (3003),0.05,"0.0500""",1.2,0.713,"",""
3,SM-ALUM-0500-30,ALUM5052,Aluminum (5052),0.05,"0.0500""",1.2,0.698,"",""
4,SM-ALUM-0600-26,ALUM3003,Aluminum (3003),0.06,"0.0600""",1.2,0.898,"",""
5,SM-ALUM-0600-30,ALUM5052,Aluminum (5052),0.06,"0.0600""",1.2,0.88,"",""
6,SM-ALUM-0600-34,ALUM6061,Aluminum (6061),0.06,"0.0600""",1.2,0.889,"",""
7,SM-ALUM-0800-30,ALUM5052,Aluminum (5052),0.08,"0.0800""",1.2,1.116,"",""
8,SM-ALUM-0800-34,ALUM6061,Aluminum (6061),0.08,"0.0800""",1.2,1.127,"",""
9,SM-ALUM-0900-26,ALUM3003,Aluminum (3003),0.09,"0.0900""",1.2,1.287,"",""
10,SM-ALUM-0900-30,ALUM5052,Aluminum (5052),0.09,"0.0900""",1.2,1.261,"",""
11,SM-ALUM-1250-26,ALUM3003,Aluminum (3003),0.125,"0.1250""",1.2,1.782,"",""
12,SM-ALUM-1250-30,ALUM5052,Aluminum (5052),0.125,"0.1250""",1.2,1.746,"",""
13,SM-ALUM-1250-34,ALUM6061,Aluminum (6061),0.125,"0.1250""",1.2,1.764,"",""
14,SM-ALUM-1900-26,ALUM3003,Aluminum (3003),0.19,"0.1900""",1.2,2.713,"",""
15,SM-ALUM-1900-30,ALUM5052,Aluminum (5052),0.19,"0.1900""",1.2,2.658,"",""
16,SM-ALUM-2500-26,ALUM3003,Aluminum (3003),0.25,"1/4""",1.2,3.564,"",""
17,SM-ALUM-2500-30,ALUM5052,Aluminum (5052),0.25,"1/4""",1.2,3.492,"",""
18,SM-MILD-0299-46,MS,Mild Steel (P&O),0.0299,22GA,1.2,1.25,"",""
19,SM-MILD-0359-46,MS,Mild Steel (P&O),0.0359,20GA,1.3,1.5,"",""
20,SM-MILD-0478-46,MS,Mild Steel (P&O),0.0478,18GA,1.3,2,"",""
21,SM-MILD-0598-42,A36 PLATE,Mild Steel (A36),0.0598,16GA,1.3,2.5,"",""
22,SM-MILD-0598-46,MS,Mild Steel (P&O),0.0598,16GA,1.23,2.5,"",""
23,SM-MILD-0747-50,MS,Mild Steel (P&O),0.0747,14GA,1.204,3.125,"",""
24,SM-MILD-1046-50,MS,Mild Steel (P&O),0.1046,12GA,1.2,4.375,"",""
25,SM-MILD-1196-50,MS,Mild Steel (P&O),0.1196,11GA,1.1,5,"",""
26,SM-MILD-1345-50,MS,Mild Steel (P&O),0.1345,10GA,1.2,5.625,"",""
27,SM-MILD-1345-51,HSLA,Mild Steel (HSLA),0.1345,10GA,1.2,5.625,"",""
28,SM-MILD-1793-42,A36 PLATE,Mild Steel (A36),0.1793,7GA,1.2,7.5,"",""
29,SM-MILD-1793-50,MS,Mild Steel (P&O),0.1793,7GA,1.2,7.5,"",""
30,SM-MILD-1793-54,HSLA,Mild Steel (HSLA),0.1793,7GA,1.2,7.5,"",""
31,SM-MILD-1875-42,A36 PLATE,Mild Steel (A36),0.1875,"3/16""",1.15,7.66,"",""
32,SM-MILD-2500-42,A36 PLATE,Mild Steel (A36),0.25,"1/4""",1.2,10.21,96,48
33,SM-MILD-2500-50,MS,Mild Steel (P&O),0.25,"1/4""",1.119,10.21,"",""
34,SM-MILD-3750-42,A36 PLATE,Mild Steel (A36),0.375,"3/8""",1.2,15.32,"",""
35,SM-MILD-3750-50,MS,Mild Steel (P&O),0.375,"3/8""",1.2,15.32,"",""
36,SM-MILD-5000-42,A36 PLATE,Mild Steel (A36),0.5,"1/2""",1.3,20.42,"",""
37,SM-NEAL-0359-62,GALVANEAL,Galvannealed Steel (AXX),0.0359,20GA,1.3,1.656,"",""
38,SM-NEAL-0478-62,GALVANEAL,Galvannealed Steel (AXX),0.0478,18GA,1.3,2.156,"",""
39,SM-NEAL-0598-62,GALVANEAL,Galvannealed Steel (AXX),0.0598,16GA,1.144,2.656,"",""
40,SM-NEAL-0747-62,GALVANEAL,Galvannealed Steel (AXX),0.0747,14GA,1.178,3.281,"",""
41,SM-NEAL-1046-64,GALVANEAL,Galvannealed Steel (AXX),0.1046,12GA,1.2,4.531,"",""
42,SM-NEAL-1196-62,GALVANEAL,Galvannealed Steel (AXX),0.1196,11GA,1.178,5.156,"",""
43,SM-NEAL-1345-62,GALVANEAL,Galvannealed Steel (AXX),0.1345,10GA,1.2,5.781,"",""
44,SM-NIZE-0359-82,GALVANIZED,Galvanized Steel (GXX),0.0359,20GA,1.3,1.656,"",""
45,SM-NIZE-0478-82,GALVANIZED,Galvanized Steel (GXX),0.0478,18GA,1.212,2.156,"",""
46,SM-NIZE-0598-82,GALVANIZED,Galvanized Steel (GXX),0.0598,16GA,1.23,2.656,"",""
47,SM-NIZE-0747-82,GALVANIZED,Galvanized Steel (GXX),0.0747,14GA,1.27,3.281,"",""
48,SM-NIZE-1046-82,GALVANIZED,Galvanized Steel (GXX),0.1046,12GA,1.2,4.531,"",""
49,SM-NIZE-1196-82,GALVANIZED,Galvanized Steel (GXX),0.1196,11GA,1.23,5.156,"",""
50,SM-NIZE-1345-82,GALVANIZED,Galvanized Steel (GXX),0.1345,10GA,1.2,5.781,"",""
51,SM-STNL-0359-01,SS304-2B,Stainless Steel (304 2B),0.0359,20GA,1.3,1.491,"",""
52,SM-STNL-0359-02,SS304-#4,Stainless Steel (304 #4),0.0359,20GA,1.3,1.491,"",""
53,SM-STNL-0359-08,SS309-#4,Stainless Steel (309 #4),0.0359,20GA,1.3,1.491,"",""
54,SM-STNL-0478-01,SS304-2B,Stainless Steel (304 2B),0.0478,18GA,1.3,2.016,"",""
55,SM-STNL-0478-02,SS304-#4,Stainless Steel (304 #4),0.0478,18GA,1.3,2.016,"",""
56,SM-STNL-0478-07,SS309-2B,Stainless Steel (309 2B),0.0478,18GA,1.3,2.016,"",""
