ID,PartNumber,Revision,Release
1,00489-001-SUN-INSL-TEMP,00,50
2,00951-070,00,50
3,01900216 0383CB,01,50
4,01900216 0877,00,50
5,01900216 0878,00,50
6,01900216 0889,00,50
7,01900216 0890,00,50
8,01900216 0890,00,51
9,01900216 0890,00,52
10,01900216 0895,00,50
11,01900216 0895,00,51
12,01900216 0897,00,50
13,01900264 0039CB,01,51
14,01900264 0039CB,01,52
15,01900384 0037CB,10,50
16,01900384 0038CB,11,50
17,01900384 0039CB,04,50
18,01900384 0040CB,04,50
19,01900416 0162CB,01,50
20,01900480 0038CB,01,50
21,01900480 0038W,01,50
22,01900480 0046CB,02,50
23,01900480 0046CB,02,51
24,01900485 0030CB,05,50
25,01900702 0229,00,50
26,01900702 0243,00,50
27,01900702 0244,00,50
28,01900702 0245,00,50
29,01900702 0246,00,50
30,01900702 0246,00,51
31,01900702 0247,00,50
32,01900702 0248,00,50
33,01900702 0249,00,50
34,01900702 0250,00,50
35,01900702 0251,00,50
36,01900702 0252,00,50
37,01900702 0253,00,50
38,01901000 0949,01,3
39,01901000 0951,02,4
40,01901000 0951,02,5
41,01901000 0951,02,6
42,01901000 0952,02,2
43,01901000 0952,02,3
44,01901000 0952,02,4
45,01901000 0952,02,5
46,01901000 0952,02,6
47,01901000 0953,01,3
48,01901000 0953,02,6
49,01901000 0953,02,7
50,01901000 0953,02,8
51,01901000 0953,02,9
52,01901000 0953,02,10
53,01901000 0953,02,11
54,01901000 0953,02,12
55,01901000 0954,01,4
56,01901000 0954,01,5
57,01901000 0954,01,6
58,01901000 0954,01,7
59,01901000 0954,01,8
60,01901000 0954,01,9
61,01901000 0954,01,10
62,01901000 0954,01,11
63,01901000 0956,02,2
64,01901000 0956,02,3
65,01901000 0956,02,4
66,01901000 0958,01,5
67,01901000 0960,02,2
68,01901000 0960,02,3
69,01901000 0960,02,4
70,01901000 0961,02,2
71,01901000 0961,02,3
72,01901000 0961,02,4
73,01901000 0961,02,5
74,01901000 0961,02,6
75,01901000 0962,02,2
76,01901000 0962,02,3
77,01901000 0962,02,4
78,01901000 0963,01,7
79,01901000 0963,01,8
80,01901000 0963,01,9
81,01901000 0963,01,10
82,01901000 0964,01,4
83,01901000 0964,01,5
84,01901000 0964,01,6
85,01901000 0964,01,7
86,01901000 0964,01,8
87,01901000 0964,01,9
88,01901000 0965,01,5
89,01901000 0965,01,6
90,01901000 0966,03,2
91,01901000 0966,03,3
92,01901000 0966,03,4
93,01901000 0967,02,3
94,01901000 0967,02,4
95,01901000 0967,02,5
96,01901000 0967,02,6
97,01901000 0968,01,6
98,01901000 0968,01,7
99,01901000 0968,01,8
100,01901000 0970,03,3
101,01901000 0970,03,4
102,01901000 0970,03,5
103,01901000 0970,03,6
104,01901000 0988,01,3
105,01901000 0990CB,07,51
106,01901000 1044CB,02,50
107,01901000 1142,00,50
108,01901000 1143,00,50
109,01901000 1144,00,50
110,01901000 1145,00,50
111,01901000 1145,00,51
112,01901000 1146,01,50
113,01901000 1148,00,50
114,01901000 1148,00,51
115,01901000 1149,00,50
116,01901000 1149,00,51
117,01901000 1150,00,50
118,01901000 1150,00,51
119,01901000 1151,00,50
120,01901000 1151,00,51
121,01901000 1152,00,50
122,01901000 1154,02,50
123,01901000 1241,00,50
124,01901000 1245,02,50
125,01901000 1246,01,50
126,01901000 1247,02,50
127,01901000 1248,02,50
128,01901000 1249,02,50
129,01901000 1253,02,50
130,01901000 1254,01,50
131,01901000 1256,00,50
132,01901000 1257,00,50
133,01901000 1258,00,50
134,01901000 1259,00,50
135,01901000 1262,00,50
136,01901000 1263,00,50
137,01901000 1264,00,50
138,01901000 1265,00,50
139,01901548 0016CB,04,50
140,01901548 0017CB,02,50
141,0220231-966,00,1
142,02250087-686,01,1
143,02250120-149,01,50
144,02250144-615-1-PF,14,50
145,02250144-615-2-PF,14,50
146,02250144-615-3-PF,14,50
147,02250144-615-4-PF,14,50
148,02250144-615-5-PF,14,50
149,02250144-615-6-PF,14,50
150,02250144-615-7-PF,14,50
151,02250144-615-9-PF,14,50
152,02250144-615,14,50
153,02250144-615,14,51
154,02250144-615,14,52
155,02250144-615,14,53
156,02250146-685,01,51
157,02250146-685,04,50
158,02250150-426,00,50
159,02250173-008,00,1
160,02250173-009,00,1
161,02250212-386,02,50
162,02250212-387,02,50
163,02250212-387,02,51
164,02250212-388,02,50
165,02250212-396,02,50
166,02250212-397,02,50
167,02250216-903,03,1
168,02250216-905,04,1
169,02250216-906,04,1
170,02250216-908,04,1
171,02250217-375,01,1
172,02250219-329,01,1
173,02250223-752 Insulated,04,1
174,02250223-813-RIVETED,05,50
175,02250231-966,01,2
176,02250232-305,04,51
177,02250232-305,05,52
178,02250232-508,02,50
179,02250232-509,02,50
180,02250232-509,02,51
181,02250234-426,00,50
182,02250234-426,00,51
183,02250237-682,01,50
184,02250237-757,00,50
185,02250237-757,00,51
186,02250237-784,00,50
187,02250239-527,00,50
188,02250240-936,04,50
189,02250240-947,04,50
190,02250240-948,00,50
191,02250241-108,01,50
192,02250243-597,00,50
193,02250245-407,00,50
194,03903009 0079,00,50
195,03903009 0080,00,50
196,03903009 0080,00,51
197,03903009 0081,00,50
198,03903009 0082,00,50
199,03903297 0027-KIT,02,2
200,03903297 0027-KIT,03,3
201,03903297 0027-KIT,03,4
202,03903297 0027-KIT,03,5
203,03903297 0027-KIT,03,6
204,03903297 0027-KIT,03,7
205,03903297 0027-KIT,03,8
206,03903313 0108,01,50
