Part Number,Hang,Skid,Revision Number
01901000-1298,"",False,0
01901000-1299,"",False,0
02250251-565,"",False,0
02250256-826,False,False,0
8-1026,False,False,0
8-1027,False,False,0
AIRC-2630 MOD,"",False,""
DHWARE-DR0002,"",False,0
ENCLOSURE A PANELS,False,False,0
ENCLOSURE B PANELS,False,False,0
ENCLOSURE C PANELS,False,False,0
FG,False,False,""
PHIL-9898-012-20367,"",False,02
PHIL-9898-012-20367-CV,"",False,02
SPI-00121-008,False,"",05
SPI-00195-010,False,"",04
SPI-00195-010S1,False,"",03
SPI-00195-010SG,False,"",05
SPI-00195-013,"","",04
SPI-00195-013-S,"","",0
SPI-00195-051,False,"",05
SPI-00195-101,False,"",06
SPI-00195-31,False,"",03
SPI-00195-316,False,"",02
SPI-00195-316-S,False,"",02
SPI-00195-317,False,"",06
SPI-00195-317-P,False,"",06
SPI-00195-317-PTB,False,"",06
SPI-00195-317-S,False,"",06
SPI-00195-318,False,"",04
SPI-00195-326,False,"",05
SPI-00195-330,False,"",03
SPI-00195-331,False,"",04
SPI-00195-332,False,"",00
SPI-00320-004,False,"",00
SPI-0048-006,False,"",05
SPI-00488-025,False,"",05
SPI-00488-044-SUN,False,"",03
SPI-00488-045-SUN,False,"",02
SPI-00488-046-SUN,False,"",02
SPI-00488-061M,False,"",01
SPI-00488-064,False,"",00
SPI-00488-064-P,False,"",00
SPI-00488-064-PTB,False,"",00
SPI-00488-064-S,False,"",00
SPI-00488-064-SUN,False,"",00
SPI-00488-065,False,"",01
SPI-00488-065-P,False,"",01
SPI-00488-065-PTB,False,"",01
SPI-00488-065-S,False,"",01
SPI-00488-065-SUN,False,"",01
SPI-00488-066,False,"",00
SPI-00488-066-P,False,"",00
SPI-00488-066-PTB,False,"",00
SPI-00488-066-S,False,"",00
SPI-00488-066-SUN,False,"",00
SPI-00488-067,False,"",00
SPI-00488-067-P,False,"",00
SPI-00488-067-PTB,False,"",00
SPI-00488-067-S,False,"",00
SPI-00488-067-SUN,False,"",00
SPI-00488-068,False,"",00
SPI-00488-068-P,False,"",00
SPI-00488-068-PTB,False,"",00
SPI-00488-068-S,False,"",00
SPI-00488-068-SUN,False,"",00
SPI-00488-070,False,"",00
SPI-00488-070-P,False,"",00
SPI-00488-070-PTB,False,"",00
SPI-00488-070-S,False,"",00
SPI-00488-070-SUN,False,"",00
SPI-00488-071,False,"",00
SPI-00488-071-P,False,"",00
SPI-00488-071-PTB,False,"",00
SPI-00488-071-S,False,"",00
SPI-00488-071-SUN,False,"",00
SPI-00488-072,False,"",00
SPI-00488-072-P,False,"",00
SPI-00488-072-PTB,False,"",00
SPI-00488-072-S,False,"",00
SPI-00488-072-SUN,False,"",00
SPI-00488-074,False,"",00
SPI-00488-074-P,False,"",00
SPI-00488-074-PTB,False,"",00
SPI-00488-074-S,False,"",00
SPI-00488-074-SUN,False,"",00
SPI-00488-075,False,"",00
SPI-00488-075-P,False,"",00
SPI-00488-075-PTB,False,"",00
SPI-00488-075-S,False,"",00
SPI-00488-075-SUN,False,"",00
SPI-00488-076,False,"",00
SPI-00488-076-P,False,"",00
SPI-00488-076-PTB,False,"",00
SPI-00488-076-S,False,"",00
SPI-00488-076-SUN,False,"",00
SPI-00489-035,False,False,02
SPI-00489-035M,"","",00
SPI-00489-035M-P,"","",00
SPI-00489-035M-S,"","",00
SPI-00489-035M-SUN,"","",00
SPI-00489-035-P,"","",02
SPI-00489-035-PTB,"","",02
SPI-00489-035-S,"","",02
SPI-00489-035-SUN,"","",02
SPI-00489-037,False,"",02
SPI-00489-037-P,False,"",02
SPI-00489-037-PTB,False,"",02
SPI-00489-037-S ,False,"",02
SPI-00489-037-SUN,False,"",02
SPI-00489-039,False,"",02
SPI-00489-039-P,False,"",02
SPI-00489-039-PTB,False,"",02
SPI-00489-039-S,False,"",02
SPI-00489-039-SUN,False,"",02
SPI-00489-054,"","",02
SPI-00489-055,False,"",02
SPI-00489-055-P,False,"",02
SPI-00489-055-PTB,False,"",02
SPI-00489-055-S,False,"",02
SPI-00489-055-SUN,False,"",02
SPI-00489-056,False,False,02
SPI-00489-056-P,"","",02
SPI-00489-056-PTB,"","",02
SPI-00489-056-S,"","",02
SPI-00489-056-SUN,"","",02
SPI-00489-058,False,"",01
SPI-00489-058-P,False,"",01
SPI-00489-058-PTB,False,"",01
SPI-00489-058-S,False,"",01
SPI-00489-058-SUN,False,"",01
SPI-00489-061,False,False,0
SPI-00489-061-P,False,"",00
SPI-00489-061-PTB,False,"",00
SPI-00489-061-S,False,"",00
SPI-00489-061-SUN,False,"",00
SPI-00489-062,False,"",00
SPI-00489-062M,False,"",00
SPI-00489-062M-C,False,"",00
SPI-00489-062M-C-P,False,"",00
SPI-00489-062M-C-PTB,False,"",00
SPI-00489-062M-C-S,False,"",00
SPI-00489-062M-C-SUN,False,"",00
SPI-00489-062M-P,False,"",00
SPI-00489-062M-PTB,False,"",00
SPI-00489-062M-S,False,"",00
