Form Detail,150 Programmed,40 Programmed,40 Robot Programmed
A-90066706,2,2,0
A-90067036,1,2,0
A-90067037,1,2,0
A-90067038,1,2,0
A-90067060,1,2,0
A-90067064,1,2,0
A-90067065,1,2,0
A-90068293,1,1,0
A-90068294,2,2,0
A-90068365,1,2,0
A-90068381,1,1,0
A-90068445,2,2,0
A-90068664,1,1,0
A-90068665,1,1,0
A-90068677 ,1,1,0
A-90068680,1,1,0
A-90068682,1,1,0
A-90068725,1,2,0
A-90069036,1,2,0
A-90069038,1,2,0
A-90069729,1,1,0
A-90069740,1,2,0
A-90070744,1,1,0
A-90070869,1,2,0
A-90070870,1,2,0
A-90070918,1,1,0
A-90070919,1,2,0
A-90070922,1,2,0
A-90070925,1,2,0
A-90070936,1,2,0
A-90070937,1,2,0
A-90071200,1,2,0
A-90071201,2,2,0
A-90071202,2,2,0
A-90071204,1,2,0
A-90071206,1,2,0
A-90071207,1,2,0
A-90071209,1,2,0
A-90071211,1,2,0
A-90071213,1,2,0
A-90071215 ,1,2,0
A-90071217,1,2,0
A-90071220,1,2,0
A-90071306,1,1,0
A-90071307,1,2,0
A-90071308,1,2,0
A-90071309,1,1,0
A-90071310,1,1,0
A-90071313,1,1,0
A-90071320,1,2,0
A-90071321,1,2,0
A-90071323,1,2,0
A-90071325,1,1,0
A-90071326,1,2,0
A-90071327,1,1,0
A-90071328,1,1,0
A-90071329,1,1,0
A-90071331,1,2,0
A-90071332,1,1,0
A-90071333,1,2,0
A-90071334,1,1,0
A-90071335,1,2,0
A-90071341,1,2,0
A-90071342,1,1,0
A-90071344,2,2,0
A-90071426,1,2,0
A-90071539,1,2,0
A-90073109,1,2,0
A-90073148,1,2,0
A-90073150,1,1,0
A-90073189,1,1,0
A-90073205,1,1,0
A-90073415,1,1,0
A-90073416,1,1,0
A-90073419,1,2,0
A-90073420,1,2,0
A-90073422,1,2,0
A-90073423,1,2,0
A-90073424,1,2,0
A-90073432,1,1,0
A-90073447,1,2,0
A-90073462,1,1,0
A-90073463,1,1,0
A-90073466,1,1,0
A-90073468,1,1,0
A-90074922,1,2,0
A-90074929,1,2,0
A-90074933,1,1,0
A-90074948,1,2,0
A-90074949,1,1,0
A-90077426,1,2,0
A-90077429,1,2,0
A-90077526 ,1,2,0
A-90077529,1,2,0
A-90077697,1,1,0
A-90078954,1,2,0
A-90078960,1,2,0
A-90079786,1,2,0
A-90084003,1,2,0
A-90084004,1,2,0
A-90084024,1,2,0
A-90084030,1,2,0
A-90084031,1,2,0
A-90084035,1,2,0
A-90084037 ,1,2,0
A-90084038,1,2,0
A-90084040,1,2,0
A-90084041,1,2,0
A-90084043,1,2,0
A-90088767,1,2,0
A-90088768,1,2,0
A-90088769,1,2,0
A-90088770,1,2,0
A-90088771,1,2,0
A-90088773,1,2,0
A-90088775,1,2,0
A-90088776,1,2,0
A-90088777,1,2,0
A-90088778,1,2,0
A-90088779,1,2,0
A-934-05-0008-2700,1,2,0
A-934-10-0424 - 2650,1,2,0
A-934-10-0424-2,1,2,0
A-934-10-0424-2.00,1,2,0
A-934-10-0424-200,1,2,0
A-934-10-0424-2600,1,2,0
A-934-10-0424-2625,1,2,0
